Loyalty Number,Churn,f.score,r.score
480934,0,6,8
549612,0,8,8
429460,1,3,5
608370,0,5,8
530508,0,6,8
193662,0,9,8
927943,0,6,8
188893,0,6,8
852392,0,4,8
866307,0,6,8
932823,0,7,8
144514,0,5,8
611765,0,4,8
988178,0,9,8
286114,0,4,8
205785,0,5,8
735304,0,5,8
438936,0,8,8
172755,0,2,8
354730,1,3,5
413741,0,5,7
552965,0,1,8
642313,0,5,7
263080,0,4,8
109767,0,7,8
217754,0,5,8
157005,0,7,8
557752,0,4,8
608758,0,6,8
599341,0,8,8
333502,0,6,8
201574,1,0,0
403361,0,3,8
543918,0,7,8
806030,0,3,8
119200,0,5,8
938981,0,2,8
238119,0,7,8
730388,0,7,8
834891,1,0,0
127400,0,4,8
324557,0,5,8
742002,0,4,8
536567,0,8,8
704835,0,6,7
733338,1,1,1
758635,0,2,8
823048,0,3,8
612905,0,6,8
679908,0,6,8
704150,0,5,8
869743,1,3,3
596179,0,6,8
370450,0,7,8
501030,0,4,8
878633,0,7,8
285938,0,6,8
588237,0,5,8
645280,0,6,8
864324,0,7,8
124678,0,7,8
186015,0,6,8
461108,0,1,8
589580,0,7,8
623688,0,7,8
386082,1,2,8
256147,0,7,8
329382,0,0,0
140392,0,5,8
112522,0,6,8
230908,0,7,8
972581,0,5,8
357549,0,0,0
330694,0,3,8
910875,0,5,8
501704,0,6,8
529098,0,4,8
265297,0,2,8
567875,0,3,8
688524,0,4,8
269070,0,6,8
387705,0,7,8
923293,0,6,8
283314,1,0,0
322102,1,0,0
789157,0,1,8
654748,1,2,4
984713,0,1,8
114835,0,5,8
328936,0,7,8
845864,0,6,8
645265,0,5,8
223587,0,4,8
158560,0,5,8
417584,0,5,8
566033,1,0,0
472521,0,6,8
425854,0,6,6
174896,1,0,0
695855,0,5,8
699511,0,4,7
377322,0,8,8
511053,0,4,8
890753,0,4,8
796670,0,7,8
556136,0,6,8
513081,0,4,8
930718,0,8,8
235872,0,6,8
881142,1,2,2
295147,0,5,8
306110,0,4,8
295217,0,5,8
967300,1,2,8
591731,0,7,8
326905,0,5,8
375511,0,7,8
485283,0,3,8
920716,0,2,8
797685,0,5,8
216467,0,5,8
958839,0,2,8
539673,1,4,5
746226,0,1,8
484718,0,6,8
528492,1,6,8
995091,0,3,8
632793,0,5,8
912220,1,0,0
382197,1,2,6
705196,0,8,8
123094,0,4,8
366540,0,6,8
119488,0,5,8
287750,0,7,8
735846,0,6,8
606026,0,7,8
460291,0,6,8
743001,0,5,8
869799,0,4,8
520321,1,0,0
279419,0,9,8
170585,0,5,8
188340,0,7,8
670817,0,7,8
509513,0,7,8
779247,0,7,8
111255,0,7,8
763061,0,3,7
766335,0,5,8
428919,0,5,8
139863,0,5,8
695755,0,0,0
355331,0,7,8
578837,0,4,8
603248,1,0,0
467182,1,7,8
601407,0,5,8
700871,0,6,8
203809,0,0,0
705589,0,7,8
354438,0,2,8
746060,0,6,8
469718,0,6,8
164429,0,6,8
708373,0,6,8
225088,0,5,8
100214,0,4,8
459999,0,4,8
553936,1,0,0
268128,0,7,8
930584,0,6,8
327796,0,4,8
947467,0,6,8
743510,0,5,8
580324,0,4,8
845613,0,1,8
645919,0,4,8
423324,0,2,7
101945,0,6,8
713636,0,5,8
302509,0,4,8
789421,0,5,7
914255,1,0,0
675879,0,4,8
404426,0,4,8
260106,1,1,2
827194,0,2,8
438023,0,4,8
397518,1,3,7
645742,1,0,0
872932,0,6,8
407945,0,7,8
211714,0,7,8
410982,0,6,8
905213,0,5,8
147898,0,6,8
530105,1,3,6
610946,0,7,8
383108,0,6,8
836343,0,5,8
110262,0,5,8
585357,0,8,8
784804,0,4,8
719633,0,0,0
715764,0,4,8
753473,0,7,8
980856,0,6,8
271660,0,4,7
342980,0,2,8
830547,0,2,8
264936,0,6,8
436498,1,0,0
976513,0,7,8
828776,0,5,8
240362,0,4,7
137845,0,8,8
430569,0,9,8
317001,0,1,8
625870,0,7,8
660554,0,3,8
917630,0,5,8
670686,0,4,8
717660,0,4,8
450621,0,4,8
939562,0,8,8
135250,0,5,8
714555,0,7,8
947868,0,5,8
573661,0,1,8
228580,0,5,8
557500,0,6,8
238233,0,4,8
979309,0,5,8
342483,0,6,8
833569,0,3,8
120046,0,3,8
816881,0,7,8
717700,0,7,8
384146,1,2,8
245465,0,7,8
510372,0,1,8
709920,0,5,8
156031,1,0,0
143784,0,7,8
602176,1,4,6
870998,0,7,8
958224,0,6,8
837628,0,5,8
395460,0,6,8
136547,0,6,8
780631,0,1,8
166712,0,6,8
217695,0,6,7
263707,0,3,7
638368,0,6,8
695529,0,6,8
871203,0,4,8
915571,0,4,8
642109,0,7,8
833701,0,5,7
275442,0,6,8
374345,0,7,8
384825,0,6,8
559233,0,1,8
564650,0,5,8
277649,0,6,8
176885,1,0,0
732013,0,6,8
793318,0,6,8
830024,0,5,8
223684,0,1,8
723262,0,1,8
879892,0,3,8
966117,0,5,8
258358,1,2,1
265836,0,4,8
474174,1,5,5
474172,1,0,0
202299,0,5,8
497467,0,6,8
971902,1,0,0
134279,0,2,8
474757,1,0,0
635225,0,6,8
980198,0,4,8
995693,0,2,8
861924,0,5,8
639383,0,1,8
769731,0,4,8
884530,0,2,8
207372,0,4,8
236300,1,0,0
543553,0,1,8
639701,0,7,8
998090,0,5,8
283747,0,6,8
863122,0,3,8
816593,0,6,8
440939,0,5,8
531201,0,0,0
585629,0,8,8
347932,0,6,8
417886,0,6,8
514900,0,1,8
203550,0,4,8
181825,0,7,8
261582,0,8,8
679859,0,4,8
977693,0,3,8
122958,0,9,8
274698,1,4,5
443967,0,3,8
652291,0,6,8
603775,0,6,8
948404,0,4,7
605877,0,6,8
994377,0,7,8
766927,0,7,8
556492,0,5,8
702588,0,6,8
798248,0,6,8
641448,0,6,8
406047,0,6,8
538902,0,3,8
855602,0,2,8
883242,0,1,8
909134,0,6,8
294753,0,6,8
606076,0,0,0
120613,0,5,8
520094,0,5,8
754539,0,4,8
189611,0,8,8
971599,0,4,8
485189,0,0,0
521384,0,6,8
128039,0,6,8
565133,0,7,8
947876,0,7,8
138746,0,5,8
564707,0,5,8
712114,0,4,8
174996,0,6,8
798854,0,3,8
800075,0,7,8
410384,0,6,8
692304,0,7,8
991672,0,5,8
344180,0,4,8
703338,0,1,8
922388,0,6,8
471018,1,0,0
655743,0,6,8
787472,0,5,8
667687,0,1,8
348920,0,5,8
523394,0,7,8
430521,0,0,0
981581,0,6,8
639510,0,7,8
744675,0,6,8
289177,0,5,8
271641,1,2,8
357149,0,4,8
876207,0,6,8
224384,0,7,8
650445,0,10,8
399982,0,5,8
228984,0,5,8
221388,0,6,8
710053,0,6,8
591576,0,0,0
696577,0,5,8
836475,0,6,8
686223,0,2,8
450979,0,5,8
392235,0,6,8
529218,0,6,8
549132,0,3,8
782523,0,1,8
566343,1,0,0
263729,1,0,0
326561,1,2,2
430880,0,7,8
216652,1,2,8
561092,0,6,8
234866,0,5,8
721984,0,5,8
772397,0,6,8
685792,1,2,3
344199,0,5,8
909385,0,5,8
211043,0,7,8
459801,0,7,8
958243,0,7,8
517758,0,6,8
712062,0,4,8
845945,0,8,8
324707,0,5,8
184635,0,5,8
947123,1,2,6
432598,0,6,8
524483,0,7,8
413445,1,2,6
257575,0,4,8
352834,0,5,8
127590,0,5,8
846374,0,7,8
651054,0,1,8
674637,0,5,8
130368,0,6,8
752331,0,6,8
986825,0,4,8
882024,0,1,8
981343,0,6,8
101581,0,5,8
321557,1,0,0
390719,1,0,0
329358,0,4,8
497494,0,4,8
821379,1,3,6
361816,0,7,8
517612,1,0,0
734192,0,5,7
774724,0,5,8
984824,0,3,8
906396,0,5,8
722976,0,5,8
747304,0,4,8
613804,0,5,8
